A = 0, B = 0, C = 0, D = 1, F_0 = 1, F_1 = 0, F_2 = 0
A = 0, B = 0, C = 1, D = 0, F_0 = 1, F_1 = 0, F_2 = 1
A = 0, B = 0, C = 1, D = 1, F_0 = 0, F_1 = 0, F_2 = 1
A = 0, B = 1, C = 0, D = 0, F_0 = 1, F_1 = 0, F_2 = 0
A = 0, B = 1, C = 0, D = 1, F_0 = 0, F_1 = 1, F_2 = 0
A = 0, B = 1, C = 1, D = 0, F_0 = 0, F_1 = 1, F_2 = 1
A = 0, B = 1, C = 1, D = 1, F_0 = 1, F_1 = 1, F_2 = 1
A = 1, B = 0, C = 0, D = 0, F_0 = 1, F_1 = 1, F_2 = 1
A = 1, B = 0, C = 0, D = 1, F_0 = 0, F_1 = 0, F_2 = 1
A = 1, B = 0, C = 1, D = 0, F_0 = 0, F_1 = 1, F_2 = 0
A = 1, B = 0, C = 1, D = 1, F_0 = 1, F_1 = 1, F_2 = 0
A = 1, B = 1, C = 0, D = 0, F_0 = 0, F_1 = 0, F_2 = 1
A = 1, B = 1, C = 0, D = 1, F_0 = 1, F_1 = 1, F_2 = 1
A = 1, B = 1, C = 1, D = 0, F_0 = 1, F_1 = 1, F_2 = 1
A = 1, B = 1, C = 1, D = 1, F_0 = 0, F_1 = 1, F_2 = 1
A = 0, B = 0, C = 0, D = 0, F_0 = 0, F_1 = 0, F_2 = 0
