in_add_a = 0, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 00
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 11
in_add_a = 1, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 11
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 22
in_add_a = 2, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 22
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 33
in_add_a = 3, in_add_b = 0, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 33
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 11
in_add_a = 0, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 11
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 22
in_add_a = 1, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 22
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 33
in_add_a = 2, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 33
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 44
in_add_a = 3, in_add_b = 1, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 44
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 22
in_add_a = 0, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 22
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 33
in_add_a = 1, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 33
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 44
in_add_a = 2, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 44
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 55
in_add_a = 3, in_add_b = 2, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 55
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 33
in_add_a = 0, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 33
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 44
in_add_a = 1, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 44
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 55
in_add_a = 2, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 55
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 66
in_add_a = 3, in_add_b = 3, in_add_c = 0, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 66
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = f1
in_add_a = 0, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 1f
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 02
in_add_a = 1, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 20
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 2, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 3, in_add_b = 0, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 02
in_add_a = 0, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 20
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 1, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 2, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 3, in_add_b = 1, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 13
in_add_a = 0, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 31
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 1, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 2, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 46
in_add_a = 3, in_add_b = 2, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 64
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 24
in_add_a = 0, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 42
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 35
in_add_a = 1, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 53
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 0, final_cal_out = 46
in_add_a = 2, in_add_b = 3, in_add_c = 1, in_add_d = 0, in_add_sub_sel = 1, final_cal_out = 64
